OpenFork Discoveries — 2026-08-09
共 300 个仓库（每日上限 300）
条件: 主流语言 · Star 1-20 · 90 天内更新 · 含 README 与许可证 · 非 fork · 非空仓库

137. kuoruan/verdaccio-openid | 📦🔐 OpenIDConnect plugin for Verdaccio, fork of https://github.com/n4bb12/verdaccio-github-oauth-ui | TypeScript | 20 stars | MIT | https://github.com/kuoruan/verdaccio-openid
138. ziaulhoque24/react-rating-star-with-type | This simple react rating star component with typescript support made by Ziaul Hoque Founder of roktoshare.com | TypeScript | 20 stars | MIT | https://github.com/ziaulhoque24/react-rating-star-with-type
139. getversive/whisker | AI-powered usability testing CLI | TypeScript | 20 stars | MIT | https://github.com/getversive/whisker
140. safe-global/safe-events-service | Handle Safe indexing events from Transaction Service and deliver as HTTP webhooks | TypeScript | 20 stars | NOASSERTION | https://github.com/safe-global/safe-events-service
141. Nexus-Mods/node-nexus-api | Node.js client for the nexusmods.com API | TypeScript | 20 stars | GPL-3.0 | https://github.com/Nexus-Mods/node-nexus-api
142. rkotulan/ha-wall-clock-card | A simple, elegant card for Home Assistant's Lovelace UI that displays a clock with seconds and the current date. | TypeScript | 20 stars | MIT | https://github.com/rkotulan/ha-wall-clock-card
143. proof/proof-vc-web | Web Components for Proof Digital Credentials. | TypeScript | 20 stars | Apache-2.0 | https://github.com/proof/proof-vc-web
144. Eigenwise/tesseron | Expose typed web-app actions to MCP-compatible AI agents over WebSocket. TypeScript SDK + matching MCP gateway. | TypeScript | 20 stars | NOASSERTION | https://github.com/Eigenwise/tesseron
145. bitflyer-tools/cycle-flyer | :zap: web client for bitFlyer lightning made by Cycle.js | TypeScript | 20 stars | MIT | https://github.com/bitflyer-tools/cycle-flyer
146. kernel/just-html | Agent-first minimal HTML document host. Your agent self-onboards, gets an API key, and publishes HTML to a stable URL — private by default, shareable, with comments & reactions for humans and their agents. | TypeScript | 20 stars | MIT | https://github.com/kernel/just-html
147. auguwu/clippy-action | 🐻‍❄️📦 GitHub action to run Clippy, an up-to-date and modern version of actions-rs/clippy | TypeScript | 20 stars | Apache-2.0 | https://github.com/auguwu/clippy-action
148. JGeek00/crowdsec-monitor-api | REST API server for CrowdSec LAPI | TypeScript | 20 stars | MIT | https://github.com/JGeek00/crowdsec-monitor-api
149. clynamic/joi.how | jack-off-instruction stroke-to-the-beat slideshow | TypeScript | 20 stars | GPL-3.0 | https://github.com/clynamic/joi.how
150. purposewalks9/Hookraft |   Powerful frontend primitives for motion, effects, behavior, async workflows, and modern interactive UI development. | TypeScript | 20 stars | MIT | https://github.com/purposewalks9/Hookraft
